Id;Nombre;PVP;PVP_Unidad_Medida;Cantidad_Neta;URL_Producto;URL_Imagen;UltActualizacion
7894972;Brotes deluxe FLORETTE bolsa 100 grs.;1,75 €;17,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894972;https://www.gadisline.com/resources/images/7894972_F_001.jpg;02/11/2019 14:25:20
7894963;Brotes espinaca FLORETTE bolsa 125 grs.;1,49 €;11,92 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894963;https://www.gadisline.com/resources/images/7894963_F_001.jpg;02/11/2019 14:25:20
7894980;Corazón de escarola IFA ELIGES bolsa 150 grs.;1,00 €;6,67 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894980;https://www.gadisline.com/resources/images/7894980_F_001.jpg;02/11/2019 14:25:21
7894967;Dúo canónigos+rúcula FLORETTE bolsa 100 grs.;1,75 €;17,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894967;https://www.gadisline.com/resources/images/7894967_F_001.jpg;02/11/2019 14:25:21
7894977;Ensalada brotes canónigos IFA ELIGES bolsa 125...;0,99 €;7,92 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894977;https://www.gadisline.com/resources/images/7894977_F_001.jpg;02/11/2019 14:25:21
7894979;Ensalada brotes rúcula IFA ELIGES bolsa 50 grs.;1,00 €;20,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894979;https://www.gadisline.com/resources/images/7894979_F_001.jpg;02/11/2019 14:25:21
7894935;Ensalada canónigos primeros brotes FLORETTE bolsa...;1,69 €;13,52 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894935;https://www.gadisline.com/resources/images/7894935_F_001.jpg;02/11/2019 14:25:21
7894971;Ensalada completa César FLORETTE barqueta 205...;2,79 €;13,61 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894971;https://www.gadisline.com/resources/images/7894971_F_001.jpg;02/11/2019 14:25:21
7894943;Ensalada completa césar light FLORETTE barqueta...;2,79 €;13,61 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894943;https://www.gadisline.com/resources/images/7894943_F_001.jpg;02/11/2019 14:25:21
7894954;Ensalada completa gourmet FLORETTE barqueta 180...;2,89 €;16,06 € / el kilo;0;https://www.gadisline.com/producto/?productID=7894954;https://www.gadisline.com/resources/images/7894954_F_001.jpg;02/11/2019 14:25:21
